Production Line,Approved items,Rejected items,Total items,Work Station,Avg. Fixing time,Avg. Supplying time,Avg. Production Time WS,Avg. Production time PL,Day,Downtime
PL#1, 82, 47, 129, WS#3@PL#1, 0.2889471263676038, 9.865956815103416, 3.9824802594860973, 8.897344765937298, 67, 1986.7718779599609
PL#1, 58, 42, 100, WS#4@PL#1, 0.3385689627511584, 11.302419683659833, 4.0318076160230545, 8.897344765937298, 67, 1347.905419107409
PL#1, 76, 28, 104, WS#5@PL#1, 0.20781976248800543, 12.225453601368388, 4.054322095378781, 8.897344765937298, 67, 1472.8733855138705
PL#1, 58, 29, 87, WS#6@PL#1, 0.29203726269968117, 13.292600050087112, 3.9698347946596164, 8.897344765937298, 67, 1896.0182877306606
PL#1, 761, 342, 1103, WS#1@PL#1, 0.3247622546314321, 14.76660406003574, 4.016465926116781, 8.933803614248799, 68, 22582.576283696704
PL#1, 57, 34, 91, WS#2@PL#1, 0.2996343211142149, 11.525223015725388, 4.016864457774252, 8.933803614248799, 68, 2852.9294938742564
PL#1, 54, 20, 74, WS#3@PL#1, 0.30585652016216225, 13.429043265921004, 3.97506835282843, 8.933803614248799, 68, 2481.6089280366577
PL#1, 37, 22, 59, WS#4@PL#1, 0.40964835541595784, 11.906335817818842, 3.8793913331718906, 8.933803614248799, 68, 1661.3318008802962
PL#1, 31, 27, 58, WS#5@PL#1, 0.2850509231591055, 12.731185194956373, 3.9067804229718273, 8.933803614248799, 68, 1625.8040793520672
PL#1, 32, 11, 43, WS#6@PL#1, 0.3496405387270972, 16.704029353002337, 3.959421199624088, 8.933803614248799, 68, 1581.8636309881244
PL#1, 1115, 533, 1648, WS#1@PL#1, 0.3230524334098211, 13.392741646993047, 3.9828394298295855, 8.647154256469367, 69, 27801.41296475409
PL#1, 106, 39, 145, WS#2@PL#1, 0.303675135083721, 8.88405435791749, 4.006765819101926, 8.647154256469367, 69, 2552.6828766326676
PL#1, 82, 48, 130, WS#3@PL#1, 0.31084795223807443, 9.738875433819986, 4.015298422256391, 8.647154256469367, 69, 2099.040044544905
PL#1, 61, 41, 102, WS#4@PL#1, 0.23735592474597692, 10.037904331970367, 3.9936649945093934, 8.647154256469367, 69, 973.3704087837402
PL#1, 58, 36, 94, WS#5@PL#1, 0.327764276986166, 11.022040969765218, 4.043369268414843, 8.647154256469367, 69, 1532.841167799102
PL#1, 46, 17, 63, WS#6@PL#1, 0.4934938505585452, 13.977656179491332, 4.015234411273861, 8.647154256469367, 69, 1210.4678268957498
PL#1, 405, 190, 595, WS#1@PL#1, 0.32235477868050577, 13.142096703101947, 4.026084103582252, 8.342049773438417, 70, 11321.187671523912
PL#1, 45, 21, 66, WS#2@PL#1, 0.40836685550844837, 10.319266403873584, 4.0967234825740935, 8.342049773438417, 70, 1578.2491396227604
PL#1, 36, 13, 49, WS#3@PL#1, 0.31430541353526753, 9.049021917620605, 4.075616507114368, 8.342049773438417, 70, 1025.7135922798834
PL#1, 23, 18, 41, WS#4@PL#1, 0.2580752478745587, 10.34209237645046, 4.024780187259662, 8.342049773438417, 70, 728.9606800139586
PL#1, 21, 23, 44, WS#5@PL#1, 0.3596157064718817, 10.058724669632127, 3.9521834354266248, 8.342049773438417, 70, 782.7375973734027
PL#1, 18, 6, 24, WS#6@PL#1, 0.45256623186806166, 11.375787704679352, 3.9885897868444924, 8.342049773438417, 70, 582.2311514847954
PL#1, 472, 240, 712, WS#1@PL#1, 0.350919264946481, 12.57996461475577, 3.989254432302823, 8.589746620333116, 71, 10905.271395375423
PL#1, 50, 16, 66, WS#2@PL#1, 0.2685244342363222, 7.454052710183178, 3.9222502674505964, 8.589746620333116, 71, 1433.1394541123268
PL#1, 41, 19, 60, WS#3@PL#1, 0.2575860251930444, 10.163945034769048, 4.040559357309761, 8.589746620333116, 71, 1410.6328578164964
PL#1, 31, 18, 49, WS#4@PL#1, 0.3879557649614836, 10.681106741515293, 4.067979485260726, 8.589746620333116, 71, 1099.2118217432549
PL#1, 37, 18, 55, WS#5@PL#1, 0.274479151514559, 8.212466494699113, 4.080719939810023, 8.589746620333116, 71, 1124.7878102819875
PL#1, 23, 12, 35, WS#6@PL#1, 0.20211556809216744, 8.735993910427158, 4.137145576784998, 8.589746620333116, 71, 834.2811066967553
PL#1, 1053, 519, 1572, WS#1@PL#1, 0.34452663869142447, 11.260444155513266, 4.000436919248413, 8.620081331074182, 72, 22911.508322243506
PL#1, 110, 43, 153, WS#2@PL#1, 0.3075732620273633, 8.422172005398217, 4.007968236239411, 8.620081331074182, 72, 3612.787659962217
PL#1, 91, 30, 121, WS#3@PL#1, 0.3350834487000514, 9.19510383907272, 3.979175101876958, 8.620081331074182, 72, 2528.2201561033644
PL#1, 58, 31, 89, WS#4@PL#1, 0.3104543641692222, 9.698341065894695, 3.9230569848202976, 8.620081331074182, 72, 2031.4416025376622
PL#1, 64, 36, 100, WS#5@PL#1, 0.41763411623029967, 9.971023460632313, 4.0453034277533435, 8.620081331074182, 72, 2266.2678780664914
PL#1, 45, 29, 74, WS#6@PL#1, 0.33412369043502993, 10.837437761813295, 4.012558622549405, 8.620081331074182, 72, 1983.4087366330655
PL#1, 1151, 493, 1644, WS#1@PL#1, 0.3089158075712403, 13.583594174384112, 4.011971033967178, 8.693451447351231, 73, 28283.610112474547
PL#1, 106, 52, 158, WS#2@PL#1, 0.2853210634149512, 11.267215301705791, 3.9833017441439442, 8.693451447351231, 73, 3169.656979775199
PL#1, 75, 34, 109, WS#3@PL#1, 0.29062781638292573, 12.343084176183265, 3.962578956076837, 8.693451447351231, 73, 1861.3439721845093
PL#1, 67, 43, 110, WS#4@PL#1, 0.2962356369478404, 11.697136864518805, 4.003269692468651, 8.693451447351231, 73, 1486.5773773181265
PL#1, 71, 27, 98, WS#5@PL#1, 0.3087538416848527, 11.463784940442794, 3.9942141492383727, 8.693451447351231, 73, 1429.8456863403976
PL#1, 60, 25, 85, WS#6@PL#1, 0.4135077287250992, 14.164093855316139, 3.9656130314227505, 8.693451447351231, 73, 1823.3417066985933
PL#1, 518, 259, 777, WS#1@PL#1, 0.3656626278335571, 10.414986606195814, 4.008468377187115, 8.518744677010652, 74, 11047.183146441881
PL#1, 59, 24, 83, WS#2@PL#1, 0.32774288346982744, 8.139264830345178, 3.9914510865348336, 8.518744677010652, 74, 1540.970257148149
PL#1, 48, 35, 83, WS#3@PL#1, 0.38550913592511105, 6.65382347378279, 3.9466369205932894, 8.518744677010652, 74, 1247.0286957686171
PL#1, 33, 21, 54, WS#4@PL#1, 0.3497938496426798, 8.212046993053374, 4.0033360528552935, 8.518744677010652, 74, 991.4925844118054
PL#1, 26, 12, 38, WS#5@PL#1, 0.589596375179212, 10.520482958979336, 3.946501093563794, 8.518744677010652, 74, 839.7715771074479
PL#1, 23, 18, 41, WS#6@PL#1, 0.4351267799732754, 8.160572547922802, 3.9305139093921637, 8.518744677010652, 74, 760.2917486688942
PL#1, 1094, 512, 1606, WS#1@PL#1, 0.33921909031895586, 13.026749083750307, 3.992826016042414, 8.914169596211451, 75, 26748.24830509393
PL#1, 106, 56, 162, WS#2@PL#1, 0.39302588495565066, 10.790980451680754, 3.994101898676843, 8.914169596211451, 75, 3194.557702351658
PL#1, 81, 41, 122, WS#3@PL#1, 0.3027107625272929, 9.80919867292828, 3.9787687316484135, 8.914169596211451, 75, 1542.6461342404307
PL#1, 58, 29, 87, WS#4@PL#1, 0.3471651702947161, 9.768785064732269, 4.063362145251735, 8.914169596211451, 75, 1123.7092873180254
PL#1, 63, 44, 107, WS#5@PL#1, 0.32221131475321274, 10.801362355757867, 4.0300542316368615, 8.914169596211451, 75, 1774.7993618376736
PL#1, 51, 28, 79, WS#6@PL#1, 0.3718285537821232, 9.801678195124005, 4.015434459661735, 8.914169596211451, 75, 774.9420987255719
PL#1, 38, 21, 59, WS#1@PL#1, 0.4721752812512838, 5.362670936535911, 3.957190305760805, 7.404317091118322, 76, 424.3026464637907
PL#1, 8, 10, 18, WS#2@PL#1, 0.4444177675229531, 2.631588999254895, 4.0356649434376255, 7.404317091118322, 76, 69.76006766777849
PL#1, 3, 0, 3, WS#3@PL#1, 0.0, 0.0, 4.308582372599811, 7.404317091118322, 76, 39
PL#1, 1, 1, 2, WS#4@PL#1, 0.20825256407532322, 0.0, 3.9214402303021676, 7.404317091118322, 76, 39.20825256407532
PL#1, 1, 0, 1, WS#5@PL#1, 0.0, 0.0, 3.7810533020585275, 7.404317091118322, 76, 39
PL#1, 0, 1, 1, WS#6@PL#1, 0.18487448377041815, 0.0, 3.891494603397298, 7.404317091118322, 76, 39.184874483770415
PL#1, 1122, 502, 1624, WS#1@PL#1, 0.34753737104673504, 13.042717643413727, 4.005150883139483, 8.591109129827721, 77, 27029.419388054328
PL#1, 108, 50, 158, WS#2@PL#1, 0.2770987629323147, 11.161618540799832, 3.979092622121223, 8.591109129827721, 77, 3741.8355307737597
PL#1, 81, 39, 120, WS#3@PL#1, 0.34490919465679437, 10.267256636830721, 3.968392457573496, 8.591109129827721, 77, 1676.7470337581917
PL#1, 62, 35, 97, WS#4@PL#1, 0.3713860054175185, 9.533410463102197, 4.011239430941395, 8.591109129827721, 77, 1252.3418703928987
PL#1, 52, 44, 96, WS#5@PL#1, 0.24420293018704697, 14.78599028328488, 4.015154585484264, 8.591109129827721, 77, 1666.7758406561368
PL#1, 41, 23, 64, WS#6@PL#1, 0.41134945978505383, 10.227230418823808, 4.083072103710223, 8.591109129827721, 77, 602.6404018668371
